code_commune_INSEE;nom_commune_postal;latitude;longitude
01001;L ABERGEMENT CLEMENCIAT;46.15342552;4.926113542
01002;L ABERGEMENT DE VAREY;46.00918788;5.428016964
01004;AMBERIEU EN BUGEY;45.96084751;5.372925778
01005;AMBERIEUX EN DOMBES;45.99617999;4.912272508
01006;AMBLEON;45.7494989;5.594320174
01007;AMBRONAY;46.00559138;5.357606607
01008;AMBUTRIX;45.93671345;5.332809235
01009;ANDERT ET CONDON;45.78735653;5.657883079
01010;ANGLEFORT;45.90937151;5.795160057
01011;APREMONT;46.20549816;5.657814753
01012;ARANC;46.0015344;5.511306375
01013;ARANDAS;45.89081553;5.498704391
01014;ARBENT;46.2834936;5.690616512
01015;ARBOYS EN BUGEY;45.72376215;5.652630864
01016;ARBIGNY;46.4776763;4.959941686
01017;ARGIS;45.93371821;5.482511003
01019;ARMIX;45.85418385;5.583578387
01021;ARS SUR FORMANS;45.9934611;4.821996495
01022;ARTEMARE;45.86958917;5.690652839
01023;ASNIERES SUR SAONE;46.38572814;4.883874786
01024;ATTIGNAT;46.28618022;5.179523385
01025;BAGE LA VILLE;46.32332033;4.952867893
01026;BAGE LE CHATEL;46.30770692;4.928620842
01027;BALAN;45.83112265;5.107800192
01028;BANEINS;46.11412144;4.901464751
01029;BEAUPONT;46.42883602;5.260034057
01030;BEAUREGARD;46.00085802;4.756006647
01031;BELLIGNAT;46.23734971;5.636005288
01032;BELIGNEUX;45.85914648;5.139895059
01033;BELLEGARDE SUR VALSERINE;46.10679018;5.832027365
01034;BELLEY;45.74946978;5.684123655
01035;BELLEYDOUX;46.25303164;5.784717237
01036;BELMONT LUTHEZIEU;45.88474759;5.651157881
01037;BENONCES;45.83749747;5.482853309
01038;BENY;46.31886292;5.282534334
01039;BEON;45.85689201;5.752203151
01040;BEREZIAT;46.3674371;5.04021656
01041;BETTANT;45.93687183;5.36667617
01042;BEY;46.21917488;4.846426902
01043;BEYNOST;45.83903254;4.997380022
01044;BILLIAT;46.07913467;5.765918182
01045;BIRIEUX;45.95339955;5.0366648
01046;BIZIAT;46.22667943;4.940846732
01047;BLYES;45.84696861;5.251660559
01049;LA BOISSE;45.84462135;5.027832241
01050;BOISSEY;46.37279735;4.998976406
01051;BOLOZON;46.19603385;5.470950754
01052;BOULIGNEUX;46.02327748;4.992527093
01053;BOURG EN BRESSE;46.20515204;5.246021255
01054;BOURG ST CHRISTOPHE;45.88619345;5.143491969
01056;BOYEUX ST JEROME;46.03636776;5.463227447
01057;BOZ;46.40516881;4.913579718
01058;BREGNIER CORDON;45.64168547;5.61653371
01059;BRENAZ;45.95000829;5.737189233
01060;BRENOD;46.07599405;5.614183613
01061;BRENS;45.71350691;5.689981545
01062;BRESSOLLES;45.86942306;5.10094289
01063;BRION;46.16863273;5.546564222
01064;BRIORD;45.77083309;5.485374619
01065;BUELLAS;46.21041352;5.14487465
01066;LA BURBANCHE;45.85987093;5.546097146
01067;CEIGNES;46.12565334;5.494573792
01068;CERDON;46.07202026;5.475775861
01069;CERTINES;46.1337951;5.262395394
01071;CESSY;46.31568938;6.077984436
01072;CEYZERIAT;46.1832171;5.320072075
01073;CEYZERIEU;45.83355301;5.71933091
01074;CHALAMONT;46.00764917;5.16936568
01075;CHALEINS;46.03405454;4.798538386
01076;CHALEY;45.95333677;5.536825053
01077;CHALLES LA MONTAGNE;46.12215397;5.457553772
01078;CHALLEX;46.17683583;5.971150929
01079;CHAMPAGNE EN VALROMEY;45.93164474;5.693218901
01080;CHAMPDOR CORCELLES;46.01988442;5.600087597
01081;CHAMPFROMIER;46.22036577;5.822335731
01082;CHANAY;46.0056953;5.768933932
01083;CHANEINS;46.09349842;4.854733647
01084;CHANOZ CHATENAY;46.18618122;5.028077192
01085;LA CHAPELLE DU CHATELARD;46.07445369;5.021620559
01087;CHARIX;46.18563441;5.681189608
01088;CHARNOZ SUR AIN;45.87367869;5.221103256
01089;CHATEAU GAILLARD;45.97303902;5.307542735
01090;CHATENAY;46.02594022;5.20485904
01091;CHATILLON EN MICHAILLE;46.12933377;5.770176021
01092;CHATILLON LA PALUD;45.97480174;5.241602773
01093;CHATILLON SUR CHALARONNE;46.12323907;4.958100037
01094;CHAVANNES SUR REYSSOUZE;46.43797852;5.006937497
01095;CHAVANNES SUR SURAN;46.27501579;5.416494231
01096;CHAVEYRIAT;46.19915138;5.056406926
01097;CHAVORNAY;45.88240495;5.724998145
01098;CHAZEY BONS;45.79257706;5.684770632
01099;CHAZEY SUR AIN;45.8929449;5.255284985
01100;CHEIGNIEU LA BALME;45.82272043;5.605002397
01101;CHEVILLARD;46.11035126;5.58116056
01102;CHEVROUX;46.38249255;4.96288276
01103;CHEVRY;46.28315294;6.047079415
01104;CHEZERY FORENS;46.22257337;5.872481053
01105;CIVRIEUX;45.92246745;4.886337869
01106;CIZE;46.20038482;5.450825267
01107;CLEYZIEU;45.90214662;5.432726955
01108;COLIGNY;46.38666379;5.330822701
01109;COLLONGES;46.14192279;5.900402567
01110;COLOMIEU;45.7361469;5.62670101
01111;CONAND;45.88348108;5.47541329
01112;CONDAMINE;46.10583116;5.555682068
01113;CONDEISSIAT;46.15384698;5.084371717
01114;CONFORT;46.15437002;5.833193953
01115;CONFRANCON;46.27030418;5.057752179
01116;CONTREVOZ;45.80094031;5.620877682
01117;CONZIEU;45.72531022;5.60442351
